record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_berit_079,"Genesis 4:16.6, 4:17, 4:18.3",24,71,108,103,112
agentic_berit_080,"Genesis 4:17.14, 4:18, 4:19.3",29,72,141,137,111
agentic_berit_081,"Genesis 4:19, 4:20, 4:21.2",21,59,81,79,79
agentic_berit_082,"Genesis 4:20.7, 4:21, 4:22.8",24,62,100,96,89
agentic_berit_083,"Genesis 4:22.5, 4:23.11",16,59,70,70,89
agentic_berit_084,"Genesis 4:23.7, 4:24, 4:25.3",16,79,70,70,107
agentic_berit_085,"Genesis 4:24.5, 4:25, 4:26.1",25,71,100,93,95
agentic_berit_086,"Genesis 4:25.15, 4:26, 5:1.6",33,84,129,111,112
agentic_berit_087,"Genesis 5:1.2, 5:2",12,46,52,45,61
agentic_berit_088,"Genesis 5:2.6, 5:3, 5:4.3",20,71,92,80,85
agentic_berit_089,"Genesis 5:4, 5:5.7",18,37,84,72,43
agentic_berit_090,"Genesis 5:5.3, 5:6, 5:7.4",14,46,74,65,57
agentic_berit_091,"Genesis 5:7, 5:8.6",18,33,89,73,42
agentic_berit_092,"Genesis 5:8.2, 5:9, 5:10.6",14,45,73,63,59
agentic_berit_093,"Genesis 5:10.2, 5:11.7",9,33,40,35,44
agentic_berit_094,"Genesis 5:11.3, 5:12, 5:13.6",15,46,81,73,62
agentic_berit_095,"Genesis 5:13.3, 5:14",12,34,53,47,44
agentic_berit_096,"Genesis 5:14.4, 5:15, 5:16.5",17,45,83,75,59
agentic_berit_097,"Genesis 5:16.2, 5:17.7",9,33,46,43,45
agentic_berit_098,"Genesis 5:17.3, 5:18, 5:19.2",13,44,71,66,55
agentic_berit_099,"Genesis 5:18.7, 5:19, 5:20.6",23,44,116,107,53
agentic_berit_100,"Genesis 5:20.2, 5:21, 5:22.3",12,47,70,66,62
agentic_berit_101,"Genesis 5:22, 5:23.6",18,32,90,78,40
agentic_berit_102,"Genesis 5:23.2, 5:24, 5:25.3",13,34,66,61,46
agentic_berit_103,"Genesis 5:24.7, 5:25, 5:26.8",24,46,123,113,64
agentic_berit_104,"Genesis 5:26.5, 5:27.9",14,33,67,60,48
agentic_berit_105,"Genesis 5:27.5, 5:28, 5:29.6",19,56,88,79,76
agentic_berit_106,"Genesis 5:29.1, 5:30.5",6,52,33,27,68
agentic_berit_107,"Genesis 5:30.2, 5:31.7",9,33,48,41,44
agentic_berit_108,"Genesis 5:31.3, 5:32, 6:1.3",15,50,78,73,71
agentic_berit_109,"Genesis 6:1, 6:2.9",18,44,85,77,56
agentic_berit_110,"Genesis 6:2.5, 6:3.13",18,46,85,81,63
agentic_berit_111,"Genesis 6:3.8, 6:4.13",21,66,95,88,89
agentic_berit_112,"Genesis 6:4.1, 6:5.8",9,71,39,34,89
agentic_berit_113,"Genesis 6:5.5, 6:6, 6:7.2",14,83,66,61,104
agentic_berit_114,"Genesis 6:6.6, 6:7.15",21,55,110,98,70
agentic_berit_115,"Genesis 6:7.12, 6:8, 6:9.1",19,66,88,78,93
agentic_berit_116,"Genesis 6:9.7, 6:10, 6:11.5",19,42,82,75,69
agentic_berit_117,"Genesis 6:11.2, 6:12, 6:13.2",13,67,76,71,90
agentic_berit_118,"Genesis 6:12.8, 6:13, 6:14.3",25,77,122,111,99
agentic_berit_119,"Genesis 6:13.13, 6:14, 6:15.6",31,79,132,120,103
agentic_berit_120,"Genesis 6:15.2, 6:16.6",8,61,32,26,80
agentic_berit_121,"Genesis 6:16.3, 6:17.4",7,77,30,23,93
agentic_berit_122,"Genesis 6:17.1, 6:18.2",3,67,20,21,80
agentic_berit_123,"Genesis 6:17.14, 6:18, 6:19.4",28,97,142,119,114
agentic_berit_124,"Genesis 6:19.1, 6:20.7",8,65,46,36,75
agentic_berit_125,"Genesis 6:20.3, 6:21.8",11,55,59,53,66
agentic_berit_126,"Genesis 6:21.4, 6:22, 7:1.5",18,73,78,71,98
agentic_berit_127,"Genesis 7:1.1, 7:2.7",8,59,36,27,74
agentic_berit_128,"Genesis 7:2.3, 7:3.5",8,53,30,21,63
agentic_berit_129,"Genesis 7:3.2, 7:4.1",3,56,10,9,68
agentic_berit_130,"Genesis 7:4.6, 7:5",11,45,47,39,58
agentic_berit_131,"Genesis 7:5.2, 7:6, 7:7.7",17,51,78,72,65
agentic_berit_132,"Genesis 7:7.4, 7:8.9",13,49,71,64,57
agentic_berit_133,"Genesis 7:8.6, 7:9, 7:10.2",19,61,95,83,75
agentic_berit_134,"Genesis 7:9.1, 7:10, 7:11.9",17,76,84,64,97
agentic_berit_135,"Genesis 7:11.5, 7:12.4",9,52,48,41,64
agentic_berit_136,"Genesis 7:12.1, 7:13.12",13,44,57,56,59
agentic_berit_137,"Genesis 7:13.8, 7:14.1",9,68,37,37,90
agentic_berit_138,"Genesis 7:14.6, 7:15",15,58,87,79,73
agentic_berit_139,"Genesis 7:15.5, 7:16, 7:17.2",19,68,89,81,87
agentic_berit_140,"Genesis 7:16.11, 7:17, 7:18.3",26,70,123,114,87
agentic_berit_141,"Genesis 7:18, 7:19.8",17,46,87,82,55
agentic_berit_142,"Genesis 7:19.5, 7:20, 7:21.3",16,69,71,58,86
agentic_berit_143,"Genesis 7:20.7, 7:21, 7:22.4",24,69,114,97,87
agentic_berit_144,"Genesis 7:22, 7:23.1",10,57,43,39,70
agentic_berit_145,"Genesis 7:23.6, 7:24.3",9,57,45,40,69
agentic_berit_146,"Genesis 7:24, 8:1.11",17,57,89,86,73
agentic_berit_147,"Genesis 8:1.7, 8:2",15,56,85,85,70
agentic_berit_148,"Genesis 8:2.5, 8:3, 8:4.3",20,61,90,86,73
agentic_berit_149,"Genesis 8:3.11, 8:4, 8:5.8",29,66,128,104,80
agentic_berit_150,"Genesis 8:5.4, 8:6",14,49,60,57,58
agentic_berit_151,"Genesis 8:6.6, 8:7, 8:8.4",19,65,90,80,75
agentic_berit_152,"Genesis 8:8.1, 8:9.9",10,54,59,53,62
agentic_berit_153,"Genesis 8:9.6, 8:10.6",12,68,59,53,77
agentic_berit_154,"Genesis 8:10.2, 8:11.12",14,69,58,56,82
agentic_berit_155,"Genesis 8:11.8, 8:12, 8:13.1",19,103,93,86,126
agentic_berit_156,"Genesis 8:12.8, 8:13.16",24,69,113,98,85
agentic_berit_157,"Genesis 8:13.13, 8:14, 8:15.2",23,70,103,85,91
agentic_berit_158,"Genesis 8:14.7, 8:15, 8:16, 8:17.3",21,81,109,88,104
agentic_berit_159,"Genesis 8:17.1, 8:18.2",3,57,21,20,72
agentic_berit_160,"Genesis 8:17.13, 8:18, 8:19",27,80,159,138,102
agentic_berit_161,"Genesis 8:19.6, 8:20",21,54,96,76,71
agentic_berit_162,"Genesis 8:20.11, 8:21.14",25,79,110,97,102
agentic_berit_163,"Genesis 8:21.1, 8:22.5",6,73,26,24,96
agentic_berit_164,"Genesis 8:22.1, 9:1.8",9,45,42,46,64
agentic_berit_165,"Genesis 9:1.4, 9:2.12",16,45,77,75,57
agentic_berit_166,"Genesis 9:2.8, 9:3.1",9,46,45,42,53
agentic_berit_167,"Genesis 9:3.6, 9:4, 9:5.7",18,83,88,80,106
agentic_berit_168,"Genesis 9:5.4, 9:6.9",13,56,55,58,73
agentic_berit_169,"Genesis 9:6.5, 9:7, 9:8",17,56,77,77,76
agentic_berit_170,"Genesis 9:8.2, 9:9, 9:10.7",16,66,81,79,86
agentic_berit_171,"Genesis 9:10.3, 9:11.4",7,72,41,39,86
agentic_berit_172,"Genesis 9:11.1, 9:12.5",6,66,37,34,82
agentic_berit_173,"Genesis 9:12.3, 9:13.5",8,55,39,39,67
agentic_berit_174,"Genesis 9:13.1, 9:14, 9:15.3",11,80,60,58,89
agentic_berit_175,"Genesis 9:15, 9:16.1",16,66,86,74,80
agentic_berit_176,"Genesis 9:15.13, 9:16, 9:17.1",29,93,146,126,114
agentic_berit_177,"Genesis 9:16.12, 9:17, 9:18.2",27,76,127,109,100
agentic_berit_178,"Genesis 9:17.11, 9:18, 9:19",28,66,131,115,86
agentic_berit_179,"Genesis 9:19.3, 9:20, 9:21, 9:22.3",18,75,76,70,92
agentic_berit_180,"Genesis 9:21.5, 9:22, 9:23.7",22,70,103,99,86
agentic_berit_181,"Genesis 9:23.4, 9:24.3",7,63,32,35,77
agentic_berit_182,"Genesis 9:23.18, 9:24, 9:25, 9:26.3",36,95,168,161,126
agentic_berit_183,"Genesis 9:25.6, 9:26, 9:27, 9:28.1",25,59,108,100,94
agentic_berit_184,"Genesis 9:27.6, 9:28, 9:29.7",21,39,99,90,60
agentic_berit_185,"Genesis 9:29.3, 10:1, 10:2.4",18,52,78,75,77
agentic_berit_186,"Genesis 10:2, 10:3, 10:4.5",19,38,84,82,69
agentic_berit_187,"Genesis 10:4.1, 10:5, 10:6.4",14,47,66,59,70
agentic_berit_188,"Genesis 10:5.8, 10:6, 10:7, 10:8.2",27,76,120,110,111
agentic_berit_189,"Genesis 10:7.9, 10:8, 10:9.9",26,58,118,111,99
agentic_berit_190,"Genesis 10:9.5, 10:10, 10:11.4",18,52,87,81,89
agentic_berit_191,"Genesis 10:11, 10:12, 10:13.1",18,38,92,79,68
agentic_berit_192,"Genesis 10:12.5, 10:13, 10:14.6",17,34,106,102,65
agentic_berit_193,"Genesis 10:14.2, 10:15, 10:16, 10:17.1",12,39,85,81,68
agentic_berit_194,"Genesis 10:16.2, 10:17, 10:18, 10:19.1",13,54,101,97,82
agentic_berit_195,"Genesis 10:18.5, 10:19, 10:20.2",20,71,110,103,106
agentic_berit_196,"Genesis 10:19.11, 10:20, 10:21",25,77,127,110,112
agentic_berit_197,"Genesis 10:21.4, 10:22, 10:23, 10:24.3",20,62,86,92,99
agentic_berit_198,"Genesis 10:24, 10:25",20,41,84,81,63
agentic_berit_199,"Genesis 10:25.1, 10:26, 10:27, 10:28.2",12,52,93,94,86
