record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_hebrew_st_051,"Genesis 8:19.6, 8:20, 8:21, 8:22, 9:1.5",64,147,291,261,194
agentic_hebrew_st_052,"Genesis 8:22.4, 9:1, 9:2, 9:3, 9:4, 9:5.7",54,153,252,234,194
agentic_hebrew_st_053,"Genesis 9:4.1, 9:5, 9:6, 9:7, 9:8, 9:9, 9:10.9",55,172,260,246,222
agentic_hebrew_st_054,"Genesis 9:9.5, 9:10, 9:11, 9:12, 9:13, 9:14.2",60,166,282,255,199
agentic_hebrew_st_055,"Genesis 9:12.14, 9:13, 9:14, 9:15, 9:16, 9:17.1",61,170,299,261,203
agentic_hebrew_st_056,"Genesis 9:16.12, 9:17, 9:18, 9:19, 9:20, 9:21, 9:22, 9:23.5",69,182,310,280,227
agentic_hebrew_st_057,"Genesis 9:22.3, 9:23, 9:24, 9:25, 9:26, 9:27, 9:28.1",56,142,249,233,195
agentic_hebrew_st_058,"Genesis 9:26.6, 9:27, 9:28, 9:29, 10:1, 10:2, 10:3, 10:4, 10:5.1",64,141,277,263,215
agentic_hebrew_st_059,"Genesis 10:3, 10:4, 10:5, 10:6, 10:7, 10:8, 10:9, 10:10.4",60,134,276,249,211
agentic_hebrew_st_060,"Genesis 10:9.2, 10:10, 10:11, 10:12, 10:13, 10:14, 10:15, 10:16.1",47,105,270,251,183
agentic_hebrew_st_061,"Genesis 10:14.2, 10:15, 10:16, 10:17, 10:18, 10:19, 10:20, 10:21.5",45,134,278,253,207
agentic_hebrew_st_062,"Genesis 10:20.1, 10:21, 10:22, 10:23, 10:24, 10:25, 10:26, 10:27, 10:28.2",53,149,263,262,234
agentic_hebrew_st_063,"Genesis 10:26.2, 10:27, 10:28, 10:29, 10:30, 10:31, 10:32, 11:1, 11:2.4",49,138,268,250,189
agentic_hebrew_st_064,"Genesis 10:32.9, 11:1, 11:2, 11:3, 11:4, 11:5, 11:6.4",66,188,311,285,233
agentic_hebrew_st_065,"Genesis 11:4.12, 11:5, 11:6, 11:7, 11:8, 11:9, 11:10.2",76,192,325,283,248
agentic_hebrew_st_066,"Genesis 11:9.4, 11:10, 11:11, 11:12, 11:13, 11:14, 11:15.1",52,139,245,205,187
agentic_hebrew_st_067,"Genesis 11:13.7, 11:14, 11:15, 11:16, 11:17, 11:18, 11:19.1",49,119,249,208,151
agentic_hebrew_st_068,"Genesis 11:18.3, 11:19, 11:20, 11:21, 11:22, 11:23, 11:24, 11:25.5",61,132,297,260,166
agentic_hebrew_st_069,"Genesis 11:23.9, 11:24, 11:25, 11:26, 11:27, 11:28, 11:29.11",66,145,322,298,204
agentic_hebrew_st_070,"Genesis 11:28.7, 11:29, 11:30, 11:31, 11:32, 12:1.4",65,159,289,263,233
agentic_hebrew_st_071,"Genesis 11:32.1, 12:1, 12:2, 12:3, 12:4, 12:5.5",50,197,236,225,247
agentic_hebrew_st_072,"Genesis 12:4.9, 12:5",28,70,136,126,88
