record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
verse_05_15,Genesis 5:15,8,12,39,38,18
verse_05_16,Genesis 5:16,13,21,63,52,28
verse_05_17,Genesis 5:17,10,12,49,43,19
verse_05_18,Genesis 5:18,8,12,42,42,16
verse_05_19,Genesis 5:19,10,20,53,44,24
verse_05_20,Genesis 5:20,10,12,46,42,17
verse_05_21,Genesis 5:21,7,12,36,34,19
verse_05_22,Genesis 5:22,12,23,65,54,30
verse_05_23,Genesis 5:23,9,9,39,33,12
verse_05_24,Genesis 5:24,8,13,43,41,18
verse_05_25,Genesis 5:25,9,12,43,41,20
verse_05_26,Genesis 5:26,14,21,68,57,30
verse_05_27,Genesis 5:27,11,12,47,43,20
verse_05_28,Genesis 5:28,8,13,38,37,18
verse_05_29,Genesis 5:29,13,31,65,50,42
verse_05_30,Genesis 5:30,13,21,62,54,28
verse_05_31,Genesis 5:31,9,12,45,39,18
verse_05_32,Genesis 5:32,9,17,47,45,28
verse_06_01,Genesis 6:1,9,21,43,38,29
verse_06_02,Genesis 6:2,13,23,59,51,29
verse_06_03,Genesis 6:3,14,23,61,58,36
verse_06_04,Genesis 6:4,22,43,94,84,55
verse_06_05,Genesis 6:5,13,28,53,46,36
verse_06_06,Genesis 6:6,7,17,41,38,24
verse_06_07,Genesis 6:7,17,38,86,73,48
verse_06_08,Genesis 6:8,6,9,21,18,16
verse_06_09,Genesis 6:9,11,19,52,45,33
verse_06_10,Genesis 6:10,7,9,35,33,20
verse_06_11,Genesis 6:11,7,14,34,34,20
verse_06_12,Genesis 6:12,9,20,57,49,30
verse_06_13,Genesis 6:13,14,33,68,64,44
verse_06_14,Genesis 6:14,12,24,54,49,29
verse_06_15,Genesis 6:15,15,22,59,49,34
verse_06_16,Genesis 6:16,15,39,68,61,48
verse_06_17,Genesis 6:17,16,38,79,67,47
verse_06_18,Genesis 6:18,10,29,56,53,35
verse_06_19,Genesis 6:19,11,30,56,39,36
verse_06_20,Genesis 6:20,13,35,66,51,41
verse_06_21,Genesis 6:21,11,20,51,48,27
verse_06_22,Genesis 6:22,9,25,32,28,36
verse_07_01,Genesis 7:1,12,28,62,53,39
verse_07_02,Genesis 7:2,17,31,73,59,37
verse_07_03,Genesis 7:3,11,22,51,38,28
verse_07_04,Genesis 7:4,18,34,89,71,42
verse_07_05,Genesis 7:5,5,11,24,22,18
verse_07_06,Genesis 7:6,8,15,37,32,20
verse_07_07,Genesis 7:7,10,25,49,44,31
verse_07_08,Genesis 7:8,10,24,64,54,28
verse_07_09,Genesis 7:9,11,19,51,47,29
verse_07_10,Genesis 7:10,7,18,35,28,22
verse_07_11,Genesis 7:11,18,39,90,74,50
verse_07_12,Genesis 7:12,7,13,38,35,16
verse_07_13,Genesis 7:13,14,31,64,60,45
verse_07_14,Genesis 7:14,14,37,84,74,47
verse_07_15,Genesis 7:15,9,21,49,43,28
verse_07_16,Genesis 7:16,12,20,55,48,31
verse_07_17,Genesis 7:17,12,27,60,56,32
verse_07_18,Genesis 7:18,9,23,46,43,28
verse_07_19,Genesis 7:19,10,23,59,53,29
verse_07_20,Genesis 7:20,8,12,37,29,18
verse_07_21,Genesis 7:21,13,34,68,58,43
verse_07_22,Genesis 7:22,9,23,39,34,30
verse_07_23,Genesis 7:23,19,34,96,88,42
verse_07_24,Genesis 7:24,6,23,32,28,29
verse_08_01,Genesis 8:1,15,34,79,78,46
verse_08_02,Genesis 8:2,8,22,45,44,26
verse_08_03,Genesis 8:3,12,19,53,49,24
verse_08_04,Genesis 8:4,10,20,46,30,27
verse_08_05,Genesis 8:5,13,27,59,45,33
verse_08_06,Genesis 8:6,10,22,43,39,27
verse_08_07,Genesis 8:7,9,22,45,38,26
verse_08_08,Genesis 8:8,9,21,44,36,26
verse_08_09,Genesis 8:9,17,33,93,85,38
verse_08_10,Genesis 8:10,9,35,45,37,41
verse_08_11,Genesis 8:11,15,34,63,56,43
verse_08_12,Genesis 8:12,10,21,56,50,26
verse_08_13,Genesis 8:13,20,48,88,76,61
verse_08_14,Genesis 8:14,8,16,39,30,21
verse_08_15,Genesis 8:15,4,6,22,18,13
verse_08_16,Genesis 8:16,7,18,37,33,24
verse_08_17,Genesis 8:17,14,41,81,70,52
verse_08_18,Genesis 8:18,5,16,32,30,22
verse_08_19,Genesis 8:19,9,23,58,48,32
verse_08_20,Genesis 8:20,15,31,61,45,41
verse_08_21,Genesis 8:21,25,48,118,107,63
verse_08_22,Genesis 8:22,13,25,53,50,35
verse_09_01,Genesis 9:1,10,20,53,56,31
verse_09_02,Genesis 9:2,17,25,80,72,28
verse_09_03,Genesis 9:3,11,21,49,45,27
verse_09_04,Genesis 9:4,5,33,24,19,42
verse_09_05,Genesis 9:5,15,29,72,67,41
verse_09_06,Genesis 9:6,11,27,44,44,34
verse_09_07,Genesis 9:7,6,17,30,29,27
verse_09_08,Genesis 9:8,6,12,33,32,19
verse_09_09,Genesis 9:9,7,17,42,40,26
verse_09_10,Genesis 9:10,16,37,69,61,45
verse_09_11,Genesis 9:11,13,35,69,62,43
verse_09_12,Genesis 9:12,15,31,74,66,41
verse_09_13,Genesis 9:13,9,24,43,38,28
verse_09_14,Genesis 9:14,7,22,36,35,26
verse_09_15,Genesis 9:15,15,34,81,68,39
verse_09_16,Genesis 9:16,15,32,73,60,43
verse_09_17,Genesis 9:17,13,27,63,52,36
verse_09_18,Genesis 9:18,11,17,49,48,25
verse_09_19,Genesis 9:19,6,22,32,26,29
verse_09_20,Genesis 9:20,6,14,24,24,18
verse_09_21,Genesis 9:21,6,19,32,30,23
verse_09_22,Genesis 9:22,10,20,43,38,28
verse_09_23,Genesis 9:23,19,31,92,89,39
verse_09_24,Genesis 9:24,8,32,38,35,40
verse_09_25,Genesis 9:25,7,16,33,29,24
verse_09_26,Genesis 9:26,9,16,36,34,29
verse_09_27,Genesis 9:27,9,19,42,39,33
verse_09_28,Genesis 9:28,8,8,37,30,14
verse_09_29,Genesis 9:29,9,12,41,36,17
verse_10_01,Genesis 10:1,11,23,47,46,34
verse_10_02,Genesis 10:2,9,17,38,41,30
verse_10_03,Genesis 10:3,5,10,26,24,20
verse_10_04,Genesis 10:4,6,11,31,29,23
verse_10_05,Genesis 10:5,9,25,47,41,31
verse_10_06,Genesis 10:6,6,11,27,24,20
verse_10_07,Genesis 10:7,11,23,50,46,41
verse_10_08,Genesis 10:8,8,17,35,32,25
verse_10_09,Genesis 10:9,11,18,54,51,37
verse_10_10,Genesis 10:10,9,19,42,40,28
verse_10_11,Genesis 10:11,9,15,51,47,28
verse_10_12,Genesis 10:12,8,11,37,29,19
verse_10_13,Genesis 10:13,6,12,48,46,25
verse_10_14,Genesis 10:14,7,11,50,50,25
verse_10_15,Genesis 10:15,5,10,28,25,18
verse_10_16,Genesis 10:16,4,9,31,28,17
verse_10_17,Genesis 10:17,3,9,29,28,14
verse_10_18,Genesis 10:18,7,18,51,48,31
verse_10_19,Genesis 10:19,13,18,65,56,26
verse_10_20,Genesis 10:20,6,35,38,34,53
verse_10_21,Genesis 10:21,8,24,40,34,37
verse_10_22,Genesis 10:22,7,13,32,35,25
verse_10_23,Genesis 10:23,6,12,24,27,20
verse_10_24,Genesis 10:24,6,13,32,30,23
verse_10_25,Genesis 10:25,14,28,54,53,42
verse_10_26,Genesis 10:26,6,12,44,44,25
verse_10_27,Genesis 10:27,3,6,28,29,13
verse_10_28,Genesis 10:28,3,6,28,28,12
verse_10_29,Genesis 10:29,6,13,41,38,23
verse_10_30,Genesis 10:30,7,17,30,25,23
verse_10_31,Genesis 10:31,6,21,37,35,29
verse_10_32,Genesis 10:32,12,30,58,49,39
verse_11_01,Genesis 11:1,6,11,31,29,13
verse_11_02,Genesis 11:2,9,22,41,40,28
verse_11_03,Genesis 11:3,16,29,74,69,38
verse_11_04,Genesis 11:4,13,40,70,61,50
verse_11_05,Genesis 11:5,9,18,44,40,24
verse_11_06,Genesis 11:6,18,38,70,62,53
verse_11_07,Genesis 11:7,11,24,41,36,30
verse_11_08,Genesis 11:8,9,19,44,41,26
verse_11_09,Genesis 11:9,15,30,66,53,44
verse_11_10,Genesis 11:10,11,23,51,47,33
verse_11_11,Genesis 11:11,10,21,54,45,29
verse_11_12,Genesis 11:12,7,12,35,30,20
verse_11_13,Genesis 11:13,13,21,63,53,29
verse_11_14,Genesis 11:14,6,12,28,23,18
verse_11_15,Genesis 11:15,12,20,61,51,26
verse_11_16,Genesis 11:16,6,12,35,29,18
verse_11_17,Genesis 11:17,12,21,62,51,27
verse_11_18,Genesis 11:18,5,12,30,27,18
verse_11_19,Genesis 11:19,11,21,58,52,27
verse_11_20,Genesis 11:20,7,12,35,31,18
verse_11_21,Genesis 11:21,12,19,58,49,25
verse_11_22,Genesis 11:22,6,13,31,27,19
verse_11_23,Genesis 11:23,10,22,51,44,28
verse_11_24,Genesis 11:24,7,12,34,32,18
verse_11_25,Genesis 11:25,12,21,60,52,27
verse_11_26,Genesis 11:26,7,16,45,44,25
verse_11_27,Genesis 11:27,11,16,59,55,27
verse_11_28,Genesis 11:28,9,25,42,37,35
verse_11_29,Genesis 11:29,15,33,73,69,56
verse_11_30,Genesis 11:30,6,8,22,19,13
verse_11_31,Genesis 11:31,24,22,106,93,40
verse_11_32,Genesis 11:32,9,42,43,38,56
verse_12_01,Genesis 12:1,11,29,60,56,43
verse_12_02,Genesis 12:2,8,27,39,40,33
verse_12_03,Genesis 12:3,9,29,44,40,35
verse_12_04,Genesis 12:4,16,16,69,66,21
verse_12_05,Genesis 12:5,19,54,103,91,69
